N,P,K,temperature,humidity,ph,rainfall,label
94.5,49.9,38.3,24.8,83.6,5.14,195.47,rice
73.2,43.0,36.4,24.85,82.73,5.62,287.61,rice
81.8,53.4,36.7,22.15,80.61,5.3,213.43,rice
74.4,41.8,36.2,23.76,83.1,5.66,240.41,rice
87.3,40.8,43.0,24.77,81.23,6.57,290.5,rice
71.5,45.5,43.1,25.49,82.77,5.38,224.46,rice
82.1,52.4,38.7,23.78,91.21,5.07,210.29,rice
87.8,57.9,40.1,24.19,81.61,5.81,243.91,rice
76.1,45.4,38.8,21.12,84.83,5.38,219.3,rice
73.0,57.8,40.9,25.07,91.84,5.9,190.43,rice
83.4,51.7,42.5,23.59,81.91,5.51,223.57,rice
86.1,51.4,38.6,26.92,89.09,5.43,192.21,rice
73.8,44.9,36.6,22.12,84.28,5.31,287.61,rice
72.0,50.5,39.1,26.89,81.68,5.72,296.34,rice
91.6,56.3,37.6,22.03,90.03,6.67,246.81,rice
84.3,45.6,42.7,22.12,84.86,5.77,240.91,rice
76.1,42.3,41.1,22.73,88.72,5.28,237.74,rice
101.3,41.0,35.0,16.21,51.27,7.48,66.12,wheat
112.4,45.1,40.2,21.84,61.91,6.71,70.59,wheat
94.0,58.6,42.5,23.69,52.49,7.1,96.92,wheat
87.2,41.3,41.1,20.17,66.84,6.21,89.76,wheat
88.1,43.3,32.5,22.33,63.3,6.78,67.94,wheat
115.1,47.8,42.2,18.95,57.54,6.69,65.07,wheat
109.9,50.1,33.5,23.1,57.68,6.82,95.32,wheat
105.0,42.3,44.1,20.65,56.7,6.21,89.7,wheat
104.8,50.7,43.4,22.1,53.03,6.47,62.42,wheat
109.8,40.7,38.5,21.86,67.54,6.51,91.06,wheat
84.4,56.9,31.9,18.58,65.95,6.22,61.46,wheat
108.9,54.4,39.6,21.25,60.85,6.38,67.28,wheat
87.3,58.2,38.8,18.61,59.24,7.42,57.67,wheat
103.4,50.1,39.2,15.16,67.44,7.4,78.26,wheat
107.9,58.4,40.6,16.37,61.53,6.91,71.21,wheat
109.5,58.7,43.9,19.06,52.26,7.48,91.94,wheat
85.0,58.4,43.0,19.67,61.83,6.6,52.74,wheat
93.4,56.1,30.1,18.0,57.96,6.81,95.99,wheat
93.9,46.9,41.1,19.07,54.49,6.68,57.04,wheat
87.1,50.0,36.3,23.23,57.25,6.87,81.61,wheat
80.5,53.3,32.7,23.65,52.97,6.62,54.27,wheat
119.9,50.0,38.9,15.6,65.0,6.31,94.9,wheat
88.2,43.8,30.5,19.25,61.3,6.1,88.78,wheat
98.1,50.5,36.6,18.61,61.19,6.23,59.1,wheat
114.5,58.9,35.6,17.44,62.88,6.61,51.27,wheat
86.2,54.3,39.9,15.24,54.44,6.35,83.59,wheat
80.8,42.1,42.0,16.61,63.05,6.36,54.97,wheat
89.7,54.4,42.8,22.47,57.94,7.0,60.25,wheat
91.7,57.9,30.2,15.77,54.16,6.04,59.07,wheat
103.3,48.4,43.4,22.36,56.84,6.39,68.98,wheat
103.6,45.4,39.4,18.68,61.04,6.65,64.72,wheat
117.9,55.3,32.1,22.82,59.75,7.34,89.99,wheat
97.0,40.4,34.0,19.87,62.67,6.39,56.97,wheat
113.4,59.7,37.9,16.55,55.45,6.03,95.71,wheat
84.7,51.5,34.1,19.99,63.03,7.24,60.32,wheat
80.4,42.7,43.5,22.87,61.95,6.9,83.25,wheat
87.0,58.3,36.3,18.45,60.38,6.07,58.31,wheat
109.5,41.7,39.0,17.21,57.79,6.43,67.78,wheat
108.8,45.9,38.5,19.28,63.27,7.41,86.63,wheat
88.6,40.6,33.9,20.36,51.03,6.74,79.84,wheat
93.4,55.4,31.6,15.68,64.56,6.74,84.42,wheat
97.4,44.9,42.3,22.19,63.89,6.41,79.51,wheat
94.4,41.8,43.8,16.23,69.0,6.67,59.26,wheat
101.7,57.5,41.0,22.26,63.18,7.04,92.46,wheat
90.0,49.8,33.3,23.89,68.88,6.06,85.28,wheat
117.0,43.6,38.5,23.24,50.68,7.05,64.87,wheat
117.0,59.4,44.2,19.27,67.24,7.27,65.96,wheat
113.2,40.7,38.9,17.07,52.41,6.12,84.81,wheat
93.6,54.5,31.0,17.84,60.79,7.19,65.94,wheat
105.0,57.7,39.2,17.1,50.49,7.31,51.06,wheat
115.0,50.6,44.1,22.19,69.96,6.53,88.36,wheat
96.1,49.6,39.4,22.86,69.68,7.15,70.89,wheat
96.9,54.8,33.6,15.99,57.09,6.43,64.82,wheat
89.3,40.8,30.3,23.89,58.56,6.58,83.98,wheat
88.7,59.0,41.8,15.8,58.35,7.32,97.24,wheat
98.7,52.3,32.5,23.92,54.63,7.41,82.48,wheat
104.3,50.3,33.5,16.59,54.41,6.28,88.98,wheat
94.0,41.2,44.5,22.95,68.56,7.49,58.69,wheat
95.8,55.2,40.4,16.39,66.32,6.34,61.19,wheat
101.5,51.9,38.7,15.82,67.55,6.4,56.48,wheat
115.5,59.1,42.9,22.29,63.1,6.83,54.35,wheat
96.3,47.5,33.9,21.51,59.92,6.12,61.01,wheat
107.3,41.5,42.8,19.46,59.61,6.89,91.23,wheat
93.9,53.6,38.5,17.4,67.57,7.2,82.92,wheat
114.0,57.3,40.6,22.53,63.95,7.02,80.93,wheat
110.1,43.2,43.2,22.85,50.58,7.24,56.44,wheat
93.4,54.9,32.4,22.36,66.64,6.76,50.32,wheat
91.5,52.3,44.7,20.69,55.2,6.95,77.0,wheat
111.2,42.1,41.4,19.87,69.26,6.51,81.63,wheat
117.3,42.1,44.1,21.19,51.36,6.45,85.41,wheat
82.7,51.6,35.2,20.59,50.91,7.31,98.67,wheat
118.8,55.0,32.0,21.82,50.49,6.03,66.18,wheat
99.5,55.4,40.2,19.01,55.47,7.5,71.31,wheat
98.1,43.3,41.9,21.24,54.42,6.12,84.02,wheat
106.2,45.5,44.3,16.36,58.65,7.42,70.99,wheat
105.5,48.0,34.1,23.86,58.19,7.34,61.5,wheat
88.5,40.6,39.8,18.32,67.29,6.71,98.41,wheat
87.4,57.4,41.6,21.94,66.9,7.14,81.31,wheat
85.2,40.7,43.8,20.55,65.93,6.72,55.87,wheat
85.0,53.7,36.5,16.8,59.83,6.1,79.1,wheat
90.8,56.0,34.7,19.1,50.23,6.11,69.62,wheat
99.2,52.0,34.4,21.25,67.2,7.17,51.98,wheat
99.2,42.1,33.6,23.88,52.85,6.75,80.91,wheat
108.1,51.2,30.1,17.94,60.35,6.13,67.53,wheat
81.3,41.6,36.0,16.19,61.35,7.03,90.03,wheat
88.0,43.3,31.6,20.73,64.13,6.05,96.81,wheat
82.1,50.8,40.6,22.84,64.28,7.2,66.97,wheat
112.6,41.6,43.4,19.93,66.35,6.68,82.18,wheat
101.1,54.6,31.2,15.54,54.94,6.24,93.59,wheat
88.8,59.5,35.1,16.64,65.79,6.99,74.91,wheat
102.2,54.4,33.4,23.97,69.5,6.98,59.98,wheat
107.2,41.4,30.5,17.32,59.25,7.3,86.36,wheat
109.7,48.5,35.2,18.34,69.75,6.06,93.35,wheat
103.1,48.8,40.9,19.38,67.47,7.35,71.09,wheat
91.1,51.8,43.7,16.9,62.46,6.95,86.66,wheat
85.3,54.3,43.6,16.62,54.75,7.46,59.05,wheat
114.2,49.8,33.7,22.84,58.91,6.77,67.96,wheat
103.7,43.3,35.9,23.72,55.16,6.99,66.26,wheat
110.9,42.6,44.5,19.08,54.72,6.11,58.49,wheat
100.8,46.7,42.4,18.88,54.97,6.93,85.34,wheat
66.7,38.4,15.4,24.63,68.28,6.21,102.21,maize
92.2,46.7,23.7,19.85,57.24,5.9,62.85,maize
81.2,53.7,15.4,19.1,64.04,6.9,75.81,maize
80.3,35.8,16.5,26.88,74.3,5.51,107.59,maize
85.6,52.4,19.5,22.64,64.78,6.5,66.98,maize
61.2,41.2,22.0,19.82,68.47,6.95,64.7,maize
86.9,43.9,23.7,19.59,68.85,6.76,107.23,maize
87.3,44.9,21.2,25.82,66.41,5.55,106.55,maize
87.6,48.5,17.2,23.93,62.88,6.48,65.33,maize
86.3,55.0,15.5,26.79,63.14,6.81,99.12,maize
82.7,49.8,23.8,21.64,61.54,6.5,100.39,maize
90.5,51.0,19.4,25.36,57.4,6.32,60.29,maize
73.0,42.3,19.0,24.26,62.77,6.17,71.88,maize
74.9,39.5,15.7,23.43,68.36,6.43,83.17,maize
75.2,52.3,20.2,22.31,55.51,6.01,79.01,maize
76.0,46.6,20.3,23.47,70.3,6.72,95.91,maize
98.2,35.4,17.0,18.07,67.95,6.85,72.17,maize
97.1,36.2,24.3,21.16,57.03,6.23,72.84,maize
71.4,41.1,23.0,22.85,61.23,6.42,95.81,maize
70.9,43.3,16.2,19.63,68.62,5.77,86.26,maize
88.4,37.1,20.7,20.31,74.26,6.23,100.3,maize
82.0,35.9,21.3,26.56,67.03,6.73,104.21,maize
69.1,39.2,21.1,21.7,71.8,6.85,77.67,maize
69.5,50.6,17.7,25.4,63.47,6.5,64.78,maize
85.0,44.0,20.9,19.51,69.74,6.79,70.84,maize
63.8,35.5,21.4,23.46,65.93,5.85,79.55,maize
83.8,44.9,24.9,19.23,68.9,6.11,81.41,maize
88.7,48.8,24.9,19.16,57.08,6.59,88.92,maize
71.0,36.6,15.9,26.05,58.84,5.99,71.33,maize
74.2,36.4,20.2,18.61,71.01,5.85,87.0,maize
95.2,48.0,20.3,20.92,61.66,6.5,109.71,maize
86.5,46.2,22.3,22.19,56.2,6.34,107.88,maize
67.0,48.8,17.0,22.82,56.93,6.18,97.81,maize
73.9,48.3,23.0,26.34,59.69,6.1,67.62,maize
99.7,53.5,20.4,25.58,65.42,6.44,64.46,maize
90.2,37.6,23.3,25.04,69.17,5.55,75.16,maize
70.5,42.2,15.9,26.43,66.08,5.96,79.85,maize
77.9,47.0,20.2,26.27,64.94,6.99,102.57,maize
68.3,53.6,16.2,25.36,62.61,6.82,103.4,maize
92.2,50.8,18.0,18.73,63.06,5.76,94.75,maize
73.8,54.5,21.4,25.4,57.65,6.79,106.14,maize
79.5,47.1,22.6,19.57,65.05,6.1,67.32,maize
74.7,36.4,15.3,19.22,74.26,6.32,108.29,maize
77.3,41.2,20.1,21.96,57.11,6.46,70.8,maize
84.8,48.0,16.5,18.55,70.62,6.19,62.91,maize
99.8,36.2,22.0,26.85,59.78,5.71,66.07,maize
72.1,37.0,21.9,18.56,65.19,7.0,100.7,maize
84.6,41.1,21.2,22.74,63.52,5.7,104.33,maize
78.0,38.9,18.7,21.73,71.55,6.6,98.47,maize
60.4,43.3,19.8,18.17,60.2,6.64,66.86,maize
81.4,39.3,15.1,20.17,74.52,6.7,107.98,maize
79.5,37.2,20.5,22.09,71.89,5.65,84.41,maize
66.0,41.5,22.4,22.28,62.52,6.09,82.97,maize
91.4,52.8,24.6,25.08,61.31,6.53,81.88,maize
70.2,51.8,15.4,26.12,64.23,6.46,92.97,maize
95.8,47.7,21.1,18.6,65.37,5.73,96.87,maize
80.5,48.6,15.4,18.76,69.33,5.61,63.56,maize
60.5,54.1,22.4,21.18,60.93,6.02,98.73,maize
86.5,38.7,16.7,18.89,68.21,6.65,73.25,maize
60.8,36.6,24.7,20.66,70.38,6.44,79.1,maize
68.2,37.4,21.2,24.97,67.88,6.3,62.1,maize
98.7,51.0,17.9,26.82,67.04,6.37,97.4,maize
92.5,48.1,16.3,21.04,73.56,5.84,78.61,maize
77.3,43.8,21.1,26.49,59.81,5.68,69.87,maize
95.5,47.9,17.9,25.34,72.23,6.77,105.95,maize
70.1,50.1,19.6,25.58,69.57,6.66,92.81,maize
67.1,45.9,24.8,26.44,55.86,5.75,66.59,maize
89.0,51.4,17.1,22.55,71.81,6.6,87.11,maize
83.6,45.2,18.0,23.09,68.78,6.81,91.81,maize
90.4,38.2,19.6,18.08,59.93,6.59,109.59,maize
64.0,43.0,23.0,19.84,66.1,6.6,90.8,maize
67.5,42.1,22.8,22.99,55.1,6.64,61.77,maize
89.8,39.0,24.6,21.31,61.54,5.72,75.28,maize
95.1,54.9,18.7,22.04,69.44,6.83,89.65,maize
75.7,43.3,22.0,18.03,67.39,6.03,99.71,maize
63.7,46.8,19.8,23.78,56.3,6.37,88.07,maize
82.4,47.1,21.8,25.24,60.4,6.74,84.91,maize
63.1,36.2,18.3,25.06,69.15,6.68,85.86,maize
77.6,37.9,18.3,21.91,56.77,5.83,89.91,maize
89.4,55.0,24.3,23.78,63.42,6.45,99.28,maize
64.7,43.2,23.4,21.45,66.44,6.38,69.22,maize
74.5,41.7,15.3,18.22,71.63,5.91,85.9,maize
71.9,53.8,17.6,21.87,72.45,6.76,69.31,maize
92.1,44.2,19.8,19.2,56.61,6.59,84.82,maize
77.5,49.6,22.7,19.43,67.2,5.7,97.57,maize
86.3,54.1,15.7,18.51,60.64,5.89,72.35,maize
96.3,40.0,17.7,24.83,63.99,6.67,63.27,maize
79.5,35.7,15.6,26.16,57.78,6.3,80.55,maize
73.9,53.0,15.2,23.97,74.27,6.34,106.84,maize
62.1,43.4,17.6,24.58,74.63,5.88,92.71,maize
67.9,46.3,19.6,26.75,67.17,6.02,65.7,maize
66.0,39.5,17.5,25.66,66.22,6.29,65.74,maize
94.4,49.5,15.7,24.37,65.87,5.62,82.92,maize
79.4,38.3,24.5,25.65,68.38,6.19,80.59,maize
86.0,45.9,15.6,22.61,71.13,6.19,62.6,maize
91.5,39.0,17.6,19.48,61.6,6.64,85.97,maize
68.2,52.6,23.8,25.84,59.78,6.18,109.25,maize
90.9,35.5,15.7,22.18,73.18,6.31,84.89,maize
64.2,48.1,23.2,21.42,70.51,6.95,70.19,maize
80.9,40.7,22.9,23.2,67.69,6.7,79.8,maize
38.3,65.7,76.6,20.48,22.93,6.48,86.43,chickpea
38.1,60.5,84.8,17.7,17.02,6.28,87.35,chickpea
33.1,58.0,79.4,20.08,15.83,7.32,85.09,chickpea
30.1,74.3,79.2,21.92,21.68,6.95,69.15,chickpea
37.6,63.5,76.6,17.06,20.6,6.79,82.98,chickpea
37.8,56.6,82.3,17.94,23.58,7.23,78.52,chickpea
34.2,61.3,79.7,21.11,19.59,6.54,77.36,chickpea
36.6,61.7,76.7,20.56,23.26,6.15,71.0,chickpea
22.8,62.0,79.5,20.74,21.51,6.93,73.81,chickpea
36.8,64.4,84.8,20.17,16.26,7.01,73.13,chickpea
33.7,56.4,76.7,21.28,17.27,7.26,71.98,chickpea
32.9,68.9,80.1,18.53,17.13,6.05,72.6,chickpea
33.1,73.8,83.7,20.83,22.88,7.0,71.51,chickpea
38.1,68.4,80.6,17.55,19.47,6.69,86.61,chickpea
30.9,62.6,84.8,17.55,19.23,6.06,83.5,chickpea
38.4,60.6,83.6,18.46,24.11,7.13,85.12,chickpea
20.4,74.3,82.3,18.52,23.29,6.42,86.82,chickpea
22.3,69.1,80.4,17.48,17.42,6.02,76.72,chickpea
26.0,67.0,78.0,18.5,22.43,6.07,87.57,chickpea
37.0,68.4,80.9,21.46,16.85,6.12,70.99,chickpea
35.9,55.7,80.8,21.98,23.56,6.78,66.59,chickpea
36.6,67.0,76.1,17.47,24.1,7.0,85.73,chickpea
37.6,66.4,80.2,19.15,18.17,6.65,84.35,chickpea
32.0,72.9,79.4,20.04,21.31,6.89,82.57,chickpea
24.7,65.2,76.0,18.92,19.88,6.98,88.76,chickpea
32.0,69.9,80.1,20.17,15.71,6.38,74.05,chickpea
29.4,55.9,76.4,18.38,24.72,6.5,77.05,chickpea
23.9,67.2,77.8,18.03,20.17,6.01,65.19,chickpea
24.4,55.7,76.1,18.69,23.03,6.86,77.82,chickpea
25.9,73.6,79.0,17.44,21.17,6.17,73.63,chickpea
30.1,72.5,79.9,20.51,24.93,6.2,71.87,chickpea
27.9,63.4,79.1,21.54,22.14,6.91,72.73,chickpea
36.5,74.1,83.2,17.01,21.36,6.08,71.44,chickpea
21.2,67.1,81.9,17.57,18.84,6.68,74.23,chickpea
22.4,63.4,82.5,17.36,15.8,6.53,88.54,chickpea
33.4,68.6,78.6,19.97,15.1,6.95,87.83,chickpea
32.3,72.5,82.2,17.6,24.02,6.1,78.35,chickpea
22.8,55.2,79.2,18.48,19.86,6.87,66.09,chickpea
22.5,66.2,78.4,20.65,21.52,7.27,82.31,chickpea
28.6,68.5,77.8,18.53,22.89,6.67,84.96,chickpea
36.4,72.2,84.2,19.15,18.19,6.87,74.28,chickpea
32.0,69.1,81.9,18.87,16.67,6.65,68.56,chickpea
37.8,61.9,76.5,17.13,21.46,6.96,73.52,chickpea
21.4,63.2,78.1,20.39,21.06,6.55,70.45,chickpea
39.8,64.1,81.9,17.7,19.86,6.04,77.64,chickpea
39.3,62.7,75.4,17.15,18.88,6.24,65.58,chickpea
35.1,64.2,77.9,21.5,16.16,7.43,72.85,chickpea
37.8,67.1,83.3,21.92,17.88,7.44,74.74,chickpea
27.7,61.8,80.4,17.77,20.54,6.81,84.05,chickpea
36.7,63.8,78.0,18.3,16.95,6.09,73.56,chickpea
25.4,74.3,80.6,18.74,20.8,6.21,76.1,chickpea
32.5,64.8,79.0,21.97,23.8,6.94,79.23,chickpea
32.4,59.0,79.0,17.2,19.76,6.81,70.69,chickpea
39.3,73.2,82.2,19.67,23.7,6.2,84.76,chickpea
22.5,70.9,77.8,21.39,24.44,6.22,76.57,chickpea
39.6,64.7,83.6,19.94,18.75,6.43,70.08,chickpea
35.2,62.7,80.1,19.46,20.77,7.3,89.52,chickpea
28.2,71.6,82.6,19.87,24.56,6.3,67.73,chickpea
37.1,63.8,83.5,21.47,15.62,7.33,76.21,chickpea
30.2,67.5,84.3,17.1,19.77,7.03,83.07,chickpea
33.9,57.7,78.0,18.79,23.04,6.42,70.27,chickpea
39.1,55.2,85.0,20.38,23.28,6.44,65.36,chickpea
34.8,71.7,82.4,17.71,22.53,7.15,81.46,chickpea
35.3,71.9,81.1,17.44,19.88,6.12,75.19,chickpea
28.1,56.3,78.5,17.55,23.08,7.42,66.81,chickpea
39.1,65.5,78.0,17.38,20.01,7.19,82.68,chickpea
21.0,56.5,79.0,18.48,17.32,6.42,85.09,chickpea
38.6,63.1,84.1,18.61,19.76,6.34,81.01,chickpea
39.6,67.1,78.6,20.24,16.23,7.33,77.58,chickpea
29.0,66.7,81.2,17.36,21.83,6.36,82.85,chickpea
36.5,71.1,80.5,19.6,16.43,7.16,71.79,chickpea
29.9,60.7,76.3,20.15,15.54,7.12,72.94,chickpea
20.0,65.2,75.5,18.38,22.07,6.09,85.98,chickpea
20.1,59.9,82.4,18.58,16.02,6.54,71.76,chickpea
36.9,61.3,82.9,21.46,19.34,7.36,74.43,chickpea
39.3,56.8,81.9,19.47,18.88,6.95,82.6,chickpea
20.1,58.3,82.1,20.33,24.66,7.14,88.77,chickpea
34.1,61.0,76.1,20.91,21.44,6.07,74.0,chickpea
39.1,65.0,79.3,19.29,17.09,6.55,74.25,chickpea
21.0,70.4,79.2,21.11,23.5,6.32,81.43,chickpea
29.4,72.6,77.2,20.39,21.08,6.44,68.42,chickpea
33.0,69.8,78.2,20.22,18.95,7.07,69.98,chickpea
37.8,60.7,78.7,17.29,16.12,6.77,71.69,chickpea
36.7,55.3,78.8,18.69,15.19,6.19,75.34,chickpea
29.9,63.1,80.3,19.98,15.1,6.7,89.09,chickpea
30.4,68.6,78.1,20.87,22.73,6.78,89.4,chickpea
22.5,55.3,82.7,21.04,16.2,6.4,65.44,chickpea
25.9,70.5,80.2,18.74,18.72,6.0,72.5,chickpea
32.9,74.5,83.5,17.12,23.99,7.17,84.51,chickpea
29.2,63.0,78.0,17.33,17.28,6.37,77.1,chickpea
34.9,64.5,75.6,21.79,24.43,7.18,89.78,chickpea
30.9,74.3,75.8,18.83,17.25,6.29,68.52,chickpea
32.4,70.6,80.8,17.73,23.11,6.95,74.7,chickpea
33.5,60.2,78.5,21.59,17.91,6.7,87.25,chickpea
34.2,56.2,76.5,17.04,21.31,6.67,68.36,chickpea
39.2,65.6,77.4,19.5,21.8,6.11,71.87,chickpea
36.1,64.2,80.5,19.16,15.44,6.25,76.14,chickpea
24.2,56.0,83.4,21.91,22.93,7.28,71.05,chickpea
39.2,58.9,84.5,21.97,22.12,7.47,79.24,chickpea
25.2,63.7,80.9,17.37,21.22,7.47,69.75,chickpea
30.9,73.2,24.4,23.64,60.21,5.99,128.16,kidneybeans
18.2,64.5,22.2,17.23,61.41,5.83,74.64,kidneybeans
26.3,70.4,20.0,15.11,55.09,5.68,143.36,kidneybeans
19.6,67.7,17.2,17.9,63.48,5.86,68.59,kidneybeans
23.6,55.6,19.8,20.96,56.19,5.64,95.81,kidneybeans
33.4,74.9,15.4,21.85,58.72,5.7,127.88,kidneybeans
33.4,74.0,20.8,18.21,62.88,5.63,110.77,kidneybeans
22.2,68.1,17.4,16.72,64.18,5.55,105.54,kidneybeans
19.4,55.8,15.4,16.58,63.67,5.64,145.54,kidneybeans
26.6,63.7,20.8,19.65,62.59,5.64,91.77,kidneybeans
32.9,73.9,23.9,18.78,62.8,5.74,104.78,kidneybeans
19.1,66.8,16.9,17.98,63.55,5.6,66.4,kidneybeans
16.4,73.8,20.1,18.68,63.11,5.92,89.9,kidneybeans
28.9,70.4,21.5,16.36,63.76,5.77,85.42,kidneybeans
23.5,55.8,16.3,21.89,55.0,5.71,107.03,kidneybeans
16.1,74.5,17.3,17.74,58.04,5.62,60.13,kidneybeans
29.6,74.3,17.2,20.97,62.42,5.92,98.04,kidneybeans
21.1,61.5,22.1,22.35,56.82,5.69,141.17,kidneybeans
31.1,74.7,22.5,18.54,60.91,5.83,67.06,kidneybeans
25.9,69.2,16.7,22.03,60.84,5.98,63.82,kidneybeans
20.3,67.0,18.0,21.43,62.59,5.55,106.25,kidneybeans
25.2,62.4,24.3,22.45,61.97,5.86,101.55,kidneybeans
33.4,68.9,22.3,22.76,57.74,5.9,77.57,kidneybeans
21.9,61.7,24.8,22.71,62.01,5.86,110.59,kidneybeans
33.9,64.9,18.8,16.47,62.86,5.87,94.59,kidneybeans
15.5,71.8,15.1,21.33,64.7,5.72,81.15,kidneybeans
29.1,71.3,20.5,23.7,55.52,5.75,124.66,kidneybeans
32.3,58.6,23.0,19.97,58.97,5.57,137.88,kidneybeans
18.1,61.2,17.9,22.84,61.73,5.9,82.54,kidneybeans
27.5,66.4,23.3,23.15,55.12,5.84,64.67,kidneybeans
26.0,60.8,18.1,18.18,61.21,5.67,125.94,kidneybeans
23.1,56.4,22.8,17.57,59.33,5.84,89.92,kidneybeans
16.1,62.5,24.4,20.78,61.71,5.82,77.91,kidneybeans
23.4,70.0,16.0,17.5,57.76,5.72,148.23,kidneybeans
16.4,65.4,16.8,23.74,56.13,5.7,126.41,kidneybeans
